64000000, 8, 4.201123
64000000, 8, 3.453175
64000000, 8, 2.515768
64000000, 8, 2.519254
64000000, 8, 2.499919
64000000, 8, 2.768391
64000000, 8, 3.183019
64000000, 4, 2.492813
64000000, 4, 2.398627
64000000, 4, 2.306928
64000000, 4, 2.263858
64000000, 4, 2.307249
64000000, 4, 2.276727
64000000, 4, 2.338449
64000000, 2, 2.944282
64000000, 2, 2.844684
64000000, 2, 2.735293
64000000, 2, 2.739524
64000000, 2, 2.713190
64000000, 2, 2.723589
64000000, 2, 2.709289
32000000, 8, 1.084909
32000000, 8, 1.137955
32000000, 8, 1.084370
32000000, 8, 1.132171
32000000, 8, 1.166812
32000000, 8, 1.128925
32000000, 8, 1.173544
32000000, 4, 1.080894
32000000, 4, 1.087219
32000000, 4, 1.080758
32000000, 4, 1.085774
32000000, 4, 1.069504
32000000, 4, 1.083944
32000000, 4, 1.070247
32000000, 2, 1.289029
32000000, 2, 1.270210
32000000, 2, 1.317675
32000000, 2, 1.283920
32000000, 2, 1.305361
32000000, 2, 1.276974
32000000, 2, 1.279628
16000000, 8, 0.517718
16000000, 8, 0.578487
16000000, 8, 0.547299
16000000, 8, 0.539848
16000000, 8, 0.514969
16000000, 8, 0.557884
16000000, 8, 0.548029
16000000, 4, 0.544237
16000000, 4, 0.529787
16000000, 4, 0.549024
16000000, 4, 0.577877
16000000, 4, 0.537964
16000000, 4, 0.529395
16000000, 4, 0.526350
16000000, 2, 0.618330
16000000, 2, 0.635060
16000000, 2, 0.622673
16000000, 2, 0.633301
16000000, 2, 0.623701
16000000, 2, 0.619839
16000000, 2, 0.620891
8000000, 8, 0.285734
8000000, 8, 0.293685
8000000, 8, 0.298171
8000000, 8, 0.284754
8000000, 8, 0.272479
8000000, 8, 0.294516
8000000, 8, 0.283700
8000000, 4, 0.276243
8000000, 4, 0.266608
8000000, 4, 0.263404
8000000, 4, 0.266212
8000000, 4, 0.271337
8000000, 4, 0.262366
8000000, 4, 0.285587
8000000, 4, 0.269134
8000000, 2, 0.309240
8000000, 2, 0.308099
8000000, 2, 0.306547
8000000, 2, 0.313329
8000000, 2, 0.310914
8000000, 2, 0.309015
8000000, 2, 0.312013
